id,longitude,latitude,density
212,-123.15602,49.27,1
213,-123.0679,49.2766,1
214,-123.13511,49.2899,1
215,-123.13762,49.28528,1
216,-123.10484,49.2648,2
217,-123.06452,49.27403,1
218,-123.07538,49.26229,2
219,-123.08144,49.3354,1
220,-123.10229,49.25185,1
221,-123.07011,49.26511,1
222,-123.13647,49.26167,2
223,-123.07234,49.26239,1
224,-123.08335,49.26392,1
225,-123.07105,49.33332,1
226,-123.11783,49.26508,1
227,-123.15993,49.26924,1
228,-123.16632,49.26887,2
229,-123.11895,49.2091,1
230,-123.18364,49.26912,2
231,-123.05296,49.28106,1
232,-123.14021,49.28424,1
233,-123.05734,49.28843,1
234,-123.04944,49.27011,1
235,-123.13369,49.2862,1
236,-123.13686,49.29371,1
237,-123.1004,49.26083,1
238,-123.14795,49.26688,1
239,-123.06656,49.25184,1
240,-123.17018,49.25681,2
241,-123.14799,49.26916,2
242,-123.13552,49.26992,1
243,-123.10043,49.24754,1
244,-123.09659,49.25927,1
245,-123.15253,49.27282,1
246,-123.15742,49.27048,1
247,-123.13351,49.28109,1
248,-123.16758,49.25711,3
249,-123.0966,49.25409,2
250,-123.12523,49.25534,1
251,-123.1579,49.26999,1
252,-123.14331,49.26584,1
253,-123.09985,49.27377,1
254,-123.07281,49.25583,2
255,-123.09999,49.27852,1
256,-123.1525,49.27309,1
257,-123.07768,49.23851,1
258,-123.07481,49.26691,1
259,-123.0477,49.32067,1
260,-123.11725,49.26696,1
261,-123.1418,49.28585,1
262,-123.02385,49.26445,1
263,-123.13824,49.28144,1
264,-123.14464,49.2618,1
265,-123.1043,49.2647,2
266,-123.1509,49.23444,1
267,-123.14793,49.26001,1
268,-123.11607,49.23204,1
269,-123.08903,49.24752,1
270,-123.0696,49.27451,1
271,-123.17043,49.22731,1
272,-123.1111,49.26238,3
273,-123.14113,49.21319,1
274,-123.08115,49.25355,1
275,-123.11691,49.24414,1
276,-123.10453,49.26119,1
277,-123.07526,49.26227,1
278,-123.09211,49.26612,1
279,-123.14003,49.26876,1
280,-123.07567,49.23381,1
281,-123.16207,49.27071,1
282,-123.21305,49.27144,1
283,-123.11617,49.25951,3
284,-123.08248,49.23885,2
285,-123.08472,49.28067,1
286,-123.14148,49.2637,2
287,-123.12572,49.25777,1
288,-123.10303,49.26154,1
289,-123.08146,49.26178,1
290,-123.09508,49.25938,3
291,-123.09535,49.28154,1
292,-123.13467,49.28265,2
293,-123.14871,49.27027,2
294,-123.0727,49.28013,1
295,-123.06514,49.2802,1
296,-123.15154,49.26282,4
297,-123.1004,49.25935,1
298,-123.20206,49.26364,2
299,-123.13364,49.27708,2
300,-123.09218,49.2565,1
301,-123.1702,49.25733,1
302,-123.14325,49.26945,1
303,-123.07214,49.32394,1
304,-123.12523,49.26239,1
305,-123.08973,49.25188,1
306,-123.06569,49.27357,1
307,-123.12407,49.27746,2
308,-123.10082,49.25572,1
309,-123.14325,49.26963,1
310,-123.09816,49.26883,1
311,-123.11418,49.27852,1
312,-123.09916,49.2764,1
313,-123.13516,49.28226,1
314,-123.02432,49.22815,2
315,-123.09003,49.26149,1
316,-123.14205,49.29157,1
317,-123.04937,49.27881,1
318,-123.13511,49.29191,2
319,-123.16888,49.25866,2
320,-123.14213,49.28884,1
321,-123.05471,49.27464,1
322,-123.0996,49.25746,1
323,-123.13639,49.29275,1
324,-123.14034,49.28692,1
325,-123.06492,49.27478,1
326,-123.14708,49.23836,1
327,-123.05579,49.28028,1
328,-123.14433,49.29023,1
329,-123.06171,49.2798,1
330,-123.10546,49.27795,1
331,-123.1387,49.29075,2
332,-123.1274,49.28482,1
333,-123.12104,49.28841,1
334,-123.08781,49.24637,1
335,-123.0659,49.25982,2
336,-123.09487,49.2601,2
337,-123.13754,49.2838,1
338,-123.13774,49.25888,2
339,-123.13036,49.28383,1
340,-123.10149,49.26376,1
341,-123.09842,49.27422,2
342,-123.10797,49.26749,1
343,-123.06546,49.2816,1
344,-123.12422,49.20757,1
345,-123.06547,49.28414,1
346,-123.09925,49.324,1
347,-123.11379,49.2539,1
348,-123.18373,49.26789,1
349,-123.07166,49.26227,1
350,-123.10664,49.26856,2
351,-123.09584,49.28407,1
352,-123.11983,49.28877,1
353,-123.04364,49.26293,1
354,-123.07229,49.25868,1
355,-123.06226,49.2369,1
356,-123.07267,49.32945,1
357,-123.2067,49.26551,1
358,-123.09897,49.24758,1
359,-123.10553,49.2626,2
360,-123.10516,49.24571,1
361,-123.11473,49.22609,1
362,-123.10237,49.32083,1
363,-123.1346,49.29226,1
364,-123.07104,49.2785,2
365,-123.13604,49.29181,1
366,-123.02372,49.28047,1
367,-123.09972,49.27705,4
368,-123.09518,49.28421,1
369,-123.10839,49.27151,1
370,-123.1474,49.27535,1
371,-123.0389,49.2707,2
372,-123.0705,49.32874,1
373,-123.10497,49.25652,1
374,-123.11342,49.22693,2
375,-123.09276,49.24461,2
376,-123.09586,49.28402,1
377,-123.1589,49.26915,1
