id,longitude,latitude,density
0,-123.17784,49.26941,1
1,-123.14032,49.29102,1
2,-123.17878,49.26852,1
3,-123.13258,49.23229,1
4,-123.10623,49.26215,1
5,-123.13499,49.28014,1
6,-123.07352,49.26726,2
7,-123.10988,49.27728,1
8,-123.15317,49.26474,1
9,-123.12342,49.22941,1
10,-123.09832,49.23967,1
11,-123.13552,49.28811,1
12,-123.11663,49.25881,1
13,-123.13382,49.26416,1
14,-123.11585,49.28142,1
15,-123.08287,49.31207,1
16,-123.1478,49.27305,1
17,-123.15384,49.26649,1
18,-123.087,49.2634,1
19,-123.07355,49.26523,1
20,-123.11397,49.25291,2
21,-123.12315,49.27557,1
22,-123.16322,49.25837,1
23,-123.09715,49.26121,1
24,-123.09326,49.2574,1
25,-123.12787,49.28377,1
26,-123.11204,49.26222,2
27,-123.15944,49.26741,1
28,-123.14254,49.26175,1
29,-123.0623,49.25858,1
30,-123.15788,49.26083,1
31,-123.09889,49.28412,1
32,-123.10197,49.25835,1
33,-123.11439,49.25203,1
34,-123.0543,49.26102,1
35,-123.11808,49.28564,2
36,-123.12181,49.2645,1
37,-123.15065,49.23445,1
38,-123.11261,49.25645,1
39,-123.09999,49.26547,2
40,-123.11068,49.26558,2
41,-123.07369,49.2629,1
42,-123.03414,49.30735,1
43,-123.09893,49.265,1
44,-123.1084,49.27156,1
45,-123.09973,49.26545,1
46,-123.20728,49.26287,1
47,-123.1278,49.25264,1
48,-123.1036,49.2823,2
49,-123.11813,49.27364,1
50,-123.09299,49.26035,1
51,-123.12434,49.24631,1
52,-123.0661,49.27755,1
53,-123.12858,49.25876,1
54,-123.09791,49.27857,1
55,-123.15979,49.27064,1
56,-123.169,49.25098,1
57,-123.11382,49.26798,1
58,-123.12325,49.27509,1
59,-123.14664,49.27067,1
60,-123.14022,49.26175,1
61,-123.09475,49.31885,1
62,-123.16806,49.26493,1
63,-123.08604,49.28011,1
64,-123.12327,49.27502,1
65,-123.12892,49.2659,1
66,-123.15757,49.26866,1
67,-123.14776,49.23375,1
68,-123.13137,49.28742,1
69,-123.11731,49.28755,1
70,-123.09508,49.2794,1
71,-123.04156,49.25452,1
72,-123.10401,49.25372,1
73,-123.11043,49.28072,3
74,-123.1424,49.26628,1
75,-123.06876,49.27046,1
76,-123.15512,49.26683,3
77,-123.13053,49.28412,1
78,-123.02478,49.23248,1
79,-123.1373,49.28573,1
80,-123.10792,49.24781,1
81,-123.12756,49.28432,1
82,-123.09526,49.28279,1
83,-123.05566,49.24887,1
84,-123.07412,49.26784,1
85,-123.14358,49.25931,2
86,-123.11291,49.2617,1
87,-123.08014,49.31125,1
88,-123.12743,49.28417,1
89,-123.09695,49.28032,1
90,-123.16904,49.26743,1
91,-123.18762,49.25555,1
92,-123.11802,49.22724,1
93,-123.06591,49.28208,1
94,-123.10134,49.28231,1
95,-123.12612,49.28681,1
96,-123.10646,49.27837,1
97,-123.14188,49.28862,2
98,-123.17701,49.25106,1
99,-123.21178,49.26025,1
100,-123.12383,49.27362,1
101,-123.08013,49.31519,1
102,-123.11994,49.25976,1
103,-123.10521,49.28311,1
104,-123.13236,49.28632,1
105,-123.15797,49.26396,1
106,-123.03121,49.2369,1
107,-123.06237,49.27296,1
108,-123.10281,49.26527,2
109,-123.20656,49.26289,1
110,-123.12921,49.28845,1
111,-123.13912,49.29032,1
112,-123.14105,49.29169,1
113,-123.14931,49.27074,1
114,-123.11637,49.25952,1
115,-123.18169,49.26442,1
116,-123.10121,49.28232,2
117,-123.1846,49.25465,1
118,-123.08288,49.3121,1
119,-123.09816,49.27038,2
120,-123.07608,49.3119,1
121,-123.0901,49.2811,1
122,-123.1288,49.24449,1
123,-123.11423,49.25391,1
124,-123.13617,49.28763,2
125,-123.16646,49.26756,3
126,-123.13695,49.25797,1
127,-123.10936,49.27057,3
128,-123.13168,49.28204,1
129,-123.14695,49.26465,1
130,-123.1246,49.28029,1
131,-123.08556,49.2475,1
132,-123.09113,49.28219,1
133,-123.07677,49.24894,1
134,-123.08791,49.22651,4
135,-123.17106,49.26619,1
136,-123.2085,49.26466,1
137,-123.0914,49.25643,1
138,-123.12867,49.27878,3
139,-123.15276,49.26932,2
140,-123.10443,49.26206,1
141,-123.07998,49.31704,1
142,-123.13961,49.28227,1
143,-123.15767,49.26317,1
