id,longitude,latitude,density
0,-123.10728,49.26931,1
1,-123.09925,49.2636,1
2,-123.04429,49.28833,1
3,-123.15869,49.23131,1
4,-123.1179,49.26503,1
5,-123.15837,49.27087,1
6,-123.08241,49.25182,1
7,-123.11193,49.26391,1
8,-123.16643,49.25892,1
9,-123.15902,49.26568,1
10,-123.13198,49.2808,1
11,-123.09673,49.28037,1
12,-123.13079,49.25972,1
13,-123.15083,49.25751,1
14,-123.1275,49.28357,1
15,-123.18566,49.26923,1
16,-123.09257,49.24461,1
17,-123.06562,49.27342,1
18,-123.14361,49.26547,1
19,-123.11101,49.26449,1
20,-123.10169,49.28232,1
21,-123.13164,49.28293,1
22,-123.09676,49.2804,1
23,-123.11767,49.25974,1
24,-123.12402,49.28276,1
25,-123.14112,49.21934,2
26,-123.1076,49.27892,1
27,-123.11413,49.25691,1
28,-123.09998,49.27647,1
29,-123.15723,49.26566,1
30,-123.13877,49.28325,1
31,-123.08187,49.31449,1
32,-123.13145,49.2819,1
33,-123.06926,49.26714,1
34,-123.14266,49.25989,1
35,-123.12583,49.27873,2
36,-123.03423,49.31079,1
37,-123.1245,49.26517,1
38,-123.15392,49.27173,1
39,-123.16227,49.26306,1
40,-123.13945,49.29123,2
41,-123.14175,49.29122,1
42,-123.13977,49.28743,1
43,-123.06828,49.28396,1
44,-123.14277,49.2892,1
45,-123.12676,49.28449,1
46,-123.13553,49.26662,1
47,-123.16874,49.26666,1
48,-123.13247,49.29028,1
49,-123.15808,49.26847,1
50,-123.14743,49.26467,1
51,-123.12646,49.26578,1
52,-123.14055,49.28403,1
53,-123.12065,49.28876,1
54,-123.18771,49.26811,1
55,-123.17431,49.26335,1
56,-123.10475,49.26988,1
57,-123.15772,49.26431,1
58,-123.13728,49.25801,1
59,-123.15056,49.26304,1
60,-123.13225,49.28866,1
61,-123.06867,49.26645,1
62,-123.12744,49.25532,1
63,-123.1233,49.27514,1
64,-123.1149,49.24614,2
65,-123.09785,49.25836,1
66,-123.13567,49.26994,1
67,-123.11756,49.22614,2
68,-123.10074,49.27946,2
69,-123.13138,49.26411,1
70,-123.13031,49.28586,1
71,-123.10528,49.27151,1
72,-123.10473,49.26844,1
73,-123.07273,49.27688,1
74,-123.17441,49.26331,1
75,-123.11972,49.28882,1
76,-123.07034,49.26221,1
77,-123.09888,49.26807,1
78,-123.06835,49.28004,2
79,-123.09767,49.28175,1
80,-123.16972,49.26846,1
81,-123.15397,49.27078,1
82,-123.1778,49.26358,1
83,-123.13319,49.25772,1
84,-123.10041,49.27504,1
85,-123.1284,49.28861,1
86,-123.12825,49.27698,1
87,-123.0976,49.26547,1
88,-123.17203,49.26933,1
89,-123.08418,49.28197,1
90,-123.09999,49.26547,1
91,-123.07726,49.24848,2
92,-123.1541,49.26293,1
93,-123.13502,49.28005,1
94,-123.07331,49.2669,1
95,-123.09974,49.2615,3
96,-123.1341,49.27954,1
97,-123.1554,49.26323,1
98,-123.09899,49.24881,1
99,-123.08128,49.28026,1
100,-123.06854,49.26411,1
101,-123.05647,49.28082,2
102,-123.09996,49.24497,2
103,-123.08612,49.26432,1
104,-123.07954,49.31228,1
105,-123.09916,49.28405,1
106,-123.1485,49.26982,1
107,-123.09689,49.27735,2
108,-123.11144,49.27865,1
109,-123.13128,49.25967,1
110,-123.02632,49.28023,1
111,-123.08678,49.25786,1
112,-123.15723,49.26741,1
113,-123.16702,49.26744,2
114,-123.14197,49.26271,2
115,-123.09988,49.27463,3
116,-123.16202,49.26573,1
117,-123.13251,49.28237,1
118,-123.1422,49.28616,1
119,-123.1343,49.28932,1
120,-123.04906,49.24968,1
121,-123.08942,49.25737,1
122,-123.15717,49.26104,1
123,-123.12657,49.26571,1
124,-123.14258,49.26182,1
125,-123.13302,49.29112,1
126,-123.14006,49.29159,1
127,-123.12783,49.26438,3
128,-123.1263,49.2587,1
129,-123.09181,49.22744,2
130,-123.09959,49.25836,1
131,-123.21303,49.26652,1
132,-123.09933,49.26363,1
133,-123.02442,49.25417,1
134,-123.06245,49.28111,1
135,-123.09892,49.26804,1
136,-123.17472,49.26462,1
137,-123.11517,49.25744,1
138,-123.13633,49.28091,1
139,-123.10496,49.2355,1
140,-123.08005,49.25673,1
141,-123.18758,49.26895,2
142,-123.10484,49.2648,2
143,-123.07538,49.26229,1
144,-123.09998,49.25023,1
145,-123.10229,49.25185,1
146,-123.07011,49.26511,1
147,-123.15354,49.26729,1
148,-123.13478,49.25888,1
149,-123.05391,49.33551,1
150,-123.14668,49.26636,1
151,-123.13647,49.26167,2
152,-123.07234,49.26239,1
153,-123.15993,49.26924,1
154,-123.09755,49.28108,4
155,-123.16632,49.26887,2
156,-123.06879,49.2705,1
157,-123.07055,49.27141,1
158,-123.18364,49.26912,2
159,-123.12303,49.27563,1
160,-123.13866,49.28311,1
161,-123.12693,49.25171,2
162,-123.1343,49.27963,1
163,-123.14021,49.28424,1
164,-123.13369,49.2862,1
165,-123.13686,49.29371,1
166,-123.1004,49.26083,1
167,-123.18755,49.26925,1
168,-123.16718,49.2683,1
169,-123.13039,49.28749,2
170,-123.14795,49.26688,1
171,-123.14158,49.26461,1
172,-123.07466,49.2506,1
173,-123.10043,49.24754,1
174,-123.09659,49.25927,1
175,-123.13969,49.25987,2
176,-123.12437,49.28967,1
177,-123.03441,49.2573,2
178,-123.07618,49.27054,2
179,-123.09999,49.27852,1
180,-123.1525,49.27309,1
181,-123.17288,49.26851,1
182,-123.07768,49.23851,1
183,-123.09982,49.27037,1
184,-123.0477,49.32067,1
185,-123.11725,49.26696,1
186,-123.10298,49.25464,1
187,-123.1418,49.28585,1
188,-123.18176,49.26544,2
189,-123.07757,49.25768,1
190,-123.10992,49.25087,1
191,-123.09995,49.25745,1
192,-123.1509,49.23444,1
193,-123.14793,49.26001,1
194,-123.08115,49.25355,1
195,-123.09839,49.28417,1
196,-123.06842,49.31886,1
197,-123.10393,49.24806,1
198,-123.07526,49.26227,1
199,-123.09658,49.27758,1
200,-123.14003,49.26876,1
201,-123.11617,49.25951,3
202,-123.06846,49.24499,2
203,-123.1144,49.23251,1
204,-123.07646,49.26779,1
205,-123.09473,49.25287,1
206,-123.06524,49.28487,1
207,-123.1579,49.26999,1
208,-123.0727,49.28013,1
209,-123.10003,49.25843,2
210,-123.15154,49.26282,3
211,-123.18511,49.25161,1
212,-123.11622,49.25511,1
213,-123.13768,49.206,1
214,-123.10784,49.24248,1
215,-123.1702,49.25733,1
216,-123.09816,49.25657,1
217,-123.08705,49.26494,1
218,-123.07337,49.26326,1
219,-123.09911,49.27633,1
220,-123.06554,49.27877,1
221,-123.08973,49.25188,1
222,-123.12407,49.27746,2
223,-123.14906,49.27296,2
224,-123.10082,49.25572,1
225,-123.15364,49.26221,1
226,-123.09816,49.26883,1
227,-123.11282,49.27432,1
228,-123.08003,49.31123,1
229,-123.1083,49.24234,2
230,-123.08977,49.24919,1
231,-123.10007,49.25655,1
232,-123.08949,49.28078,1
233,-123.09197,49.26155,1
234,-123.13516,49.28226,1
235,-123.02432,49.22815,2
236,-123.14205,49.29157,1
237,-123.04937,49.27881,1
238,-123.13511,49.29191,2
239,-123.08144,49.33358,1
240,-123.16888,49.25866,2
241,-123.10955,49.26798,1
242,-123.12754,49.28768,2
243,-123.05471,49.27464,1
244,-123.13267,49.26258,1
245,-123.13013,49.28245,1
246,-123.13097,49.28426,1
247,-123.12369,49.28984,2
248,-123.05579,49.28028,1
249,-123.13511,49.2899,1
250,-123.17875,49.23629,1
251,-123.07922,49.31327,1
252,-123.06171,49.2798,1
253,-123.12104,49.28841,1
254,-123.08781,49.24637,1
255,-123.09487,49.2601,2
256,-123.13774,49.25888,2
257,-123.09842,49.27422,2
258,-123.106,49.26382,1
259,-123.13501,49.26995,1
260,-123.15753,49.26543,1
261,-123.11983,49.28877,1
262,-123.10281,49.25288,1
263,-123.08019,49.31367,1
264,-123.04364,49.26293,1
265,-123.07229,49.25868,1
266,-123.0847,49.28066,1
267,-123.10035,49.26083,1
268,-123.10553,49.2626,2
269,-123.18203,49.26147,2
270,-123.18316,49.25556,1
271,-123.09675,49.25143,1
272,-123.13604,49.29181,1
273,-123.07376,49.26784,1
274,-123.0786,49.25267,2
275,-123.135,49.27942,1
276,-123.0705,49.32874,1
277,-123.11342,49.22693,2
278,-123.09276,49.24461,2
279,-123.09586,49.28402,1
280,-123.12257,49.27317,1
281,-123.17517,49.24229,1
282,-123.14202,49.29219,1
283,-123.07047,49.27144,1
284,-123.14024,49.28692,1
285,-123.12507,49.25348,1
286,-123.06618,49.25592,1
287,-123.16472,49.26458,1
288,-123.12233,49.27625,2
289,-123.1405,49.26084,3
290,-123.09836,49.25799,1
291,-123.11601,49.25483,2
292,-123.13435,49.28938,1
293,-123.07117,49.26334,1
294,-123.13507,49.28147,3
295,-123.15845,49.23779,1
296,-123.05819,49.26159,1
297,-123.13312,49.28897,1
298,-123.03882,49.27993,1
299,-123.07308,49.25275,1
300,-123.12367,49.24218,1
301,-123.09901,49.27503,1
302,-123.14535,49.25996,1
303,-123.09026,49.24791,1
304,-123.07643,49.26417,3
305,-123.05989,49.24981,1
306,-123.13386,49.25903,1
307,-123.1365,49.29138,1
308,-123.13527,49.27028,1
309,-123.07072,49.27049,2
310,-123.09787,49.28276,1
311,-123.11028,49.28139,3
312,-123.13382,49.25986,1
313,-123.09725,49.28015,1
314,-123.10415,49.24959,1
315,-123.04263,49.24544,1
316,-123.10186,49.25098,1
317,-123.09961,49.32354,1
318,-123.11528,49.26873,2
319,-123.13467,49.28265,2
320,-123.07997,49.27732,3
321,-123.09879,49.32333,1
322,-123.07185,49.32834,1
323,-123.046,49.31467,2
324,-123.1378,49.28526,2
325,-123.09003,49.28218,1
326,-123.06391,49.26902,1
327,-123.19924,49.25912,1
328,-123.11089,49.26719,1
329,-123.05974,49.28272,1
330,-123.07442,49.2623,1
331,-123.08011,49.31124,1
332,-123.18393,49.26776,1
333,-123.06285,49.25864,1
334,-123.07559,49.33239,1
335,-123.0845,49.31662,1
336,-123.10104,49.25221,1
337,-123.10102,49.24971,1
338,-123.07301,49.31159,1
339,-123.1137,49.2501,2
340,-123.13619,49.28897,1
341,-123.1111,49.26238,3
342,-123.10234,49.24724,2
343,-123.15256,49.24765,1
344,-123.06374,49.24676,1
345,-123.08964,49.26607,1
346,-123.19012,49.25743,1
347,-123.09697,49.26107,1
348,-123.10065,49.25766,2
349,-123.18536,49.26691,1
350,-123.07601,49.27258,1
351,-123.0336,49.23227,1
352,-123.09991,49.24469,2
353,-123.09803,49.26368,1
354,-123.16595,49.26319,1
355,-123.13662,49.28323,2
356,-123.09276,49.25555,3
357,-123.0762,49.25106,2
358,-123.16452,49.25846,1
359,-123.17832,49.25467,1
360,-123.09547,49.27941,1
361,-123.09122,49.25644,2
362,-123.07002,49.2588,3
363,-123.13585,49.29039,1
364,-123.17744,49.26598,1
365,-123.09678,49.2794,1
366,-123.07364,49.26305,1
367,-123.11637,49.25154,1
368,-123.07569,49.22524,2
369,-123.064,49.24233,1
370,-123.10534,49.2585,1
371,-123.09114,49.26277,1
372,-123.10258,49.25753,2
373,-123.09769,49.28185,2
374,-123.0653,49.24409,2
375,-123.15688,49.2356,1
376,-123.08631,49.24915,1
377,-123.12868,49.2588,1
378,-123.09115,49.26364,1
379,-123.08383,49.3142,1
380,-123.08572,49.24458,2
381,-123.06994,49.27217,1
382,-123.17574,49.2505,1
383,-123.17028,49.24495,1
384,-123.09136,49.2456,2
385,-123.09895,49.27655,3
386,-123.0706,49.27217,1
387,-123.13408,49.28584,1
388,-123.09978,49.25565,1
389,-123.04826,49.32069,1
390,-123.10161,49.27374,3
391,-123.18422,49.2462,2
392,-123.13237,49.29144,2
393,-123.0912,49.25378,1
394,-123.13873,49.28663,3
395,-123.1704,49.22964,1
396,-123.09689,49.24632,1
397,-123.09349,49.28256,1
398,-123.04544,49.23203,1
399,-123.05432,49.28385,1
400,-123.14234,49.28386,1
401,-123.07664,49.25785,1
402,-123.20992,49.26295,1
403,-123.14817,49.209,1
404,-123.13769,49.26309,2
405,-123.12172,49.23042,1
406,-123.05985,49.27932,1
407,-123.10102,49.23358,1
408,-123.10785,49.25473,1
409,-123.05652,49.25706,1
410,-123.08862,49.22538,2
411,-123.0377,49.27429,1
412,-123.07343,49.24828,1
413,-123.20797,49.25838,1
414,-123.06573,49.27557,1
415,-123.13835,49.20573,2
416,-123.06431,49.27749,1
417,-123.07704,49.25049,1
418,-123.10013,49.2566,1
419,-123.07512,49.31364,1
420,-123.09961,49.2575,1
421,-123.08597,49.27699,1
422,-123.13375,49.28409,4
423,-123.09968,49.25745,1
424,-123.09585,49.27757,1
425,-123.03234,49.22539,2
426,-123.18051,49.25194,2
427,-123.14331,49.21934,2
428,-123.09746,49.31453,2
429,-123.0725,49.27398,1
430,-123.07713,49.31588,1
431,-123.10233,49.25272,1
432,-123.17993,49.26094,1
433,-123.09012,49.27845,1
434,-123.04421,49.28804,1
435,-123.206,49.26412,1
436,-123.09601,49.28402,1
437,-123.03701,49.22465,1
438,-123.18054,49.26467,1
439,-123.10126,49.26836,1
440,-123.11808,49.26285,1
441,-123.14342,49.26166,1
442,-123.07499,49.26147,1
443,-123.13559,49.28188,1
444,-123.15769,49.2632,1
445,-123.14006,49.29102,1
446,-123.11845,49.2643,1
447,-123.14037,49.26626,1
448,-123.08894,49.26433,1
449,-123.09815,49.26459,1
450,-123.15383,49.26377,1
451,-123.0936,49.27718,1
452,-123.10983,49.27722,1
453,-123.10175,49.24448,1
454,-123.19321,49.2547,1
455,-123.18003,49.26106,1
456,-123.13273,49.28063,1
457,-123.16149,49.23159,1
458,-123.10744,49.25944,1
459,-123.15532,49.25003,1
460,-123.18419,49.2386,1
461,-123.06202,49.24489,1
462,-123.09402,49.27941,1
463,-123.14692,49.26888,2
464,-123.11967,49.26041,2
465,-123.12808,49.28323,3
466,-123.10516,49.24571,1
467,-123.10503,49.25005,1
468,-123.14894,49.27289,1
469,-123.1273,49.26437,1
470,-123.09998,49.27634,1
471,-123.08022,49.31357,1
472,-123.14988,49.26726,2
473,-123.15759,49.26503,1
474,-123.15263,49.2705,1
475,-123.10196,49.25844,1
476,-123.1482,49.27072,1
477,-123.17273,49.26417,1
478,-123.12618,49.26431,1
479,-123.10992,49.25941,1
480,-123.18256,49.26865,1
